通用规范字ID,字头,结构,部件,偏旁变体,部首,拼音与部件名称,笔画数,笔顺,笔顺提示
285,印,左右,"印_1_3,卩",,卩,yìn,5,0000000000000000000035152,
286,尔,上下,"⺈,小",,小,ěr,5,0000000000000000000035234,
287,乐,独体,"",,丿,lè/yuè,5,0000000000000000000035234,
288,句,半包围,"勹,口",,勹,jù,5,0000000000000000000035251,
289,匆,独体,"勿,丶",,勹,cōng,5,0000000000000000000035334,
290,册,独体,"",,丿,cè,5,0000000000000000000035351,
291,卯,左右,"𠂎,卩",,卩,mǎo,5,0000000000000000000035352,
292,犯,左右,"犭,㔾",,犭,fàn,5,0000000000000000000035355,
293,外,左右,"夕,卜",,夕,wài,5,0000000000000000000035424,
294,处,半包围,"夂,卜",,夂,chǔ/chù,5,0000000000000000000035424,
295,冬,上下,"夂,⺀",,夂,dōng,5,0000000000000000000035444,
296,鸟,独体,"乌,丶",,鸟,niǎo,5,0000000000000000000035451,
297,务,上下,"夂,力",,夂,wù,5,0000000000000000000035453,
298,包,半包围,"勹,巳",,勹,bāo,5,0000000000000000000035515,
299,饥,左右,"饣,几",,饣,jī,5,0000000000000000000035535,
300,主,独体,"丶,王",,丶,zhǔ,5,0000000000000000000041121,
301,市,上下,"亠,巾",,亠,shì,5,0000000000000000000041252,
302,立,独体,"亠,䒑",,立,lì,5,0000000000000000000041431,
303,冯,左右,"冫,马",,冫,féng,5,0000000000000000000041551,
304,玄,上下,"亠,幺",,亠,xuán,5,0000000000000000000041554,
305,闪,半包围,"门,人",,门,shǎn,5,0000000000000000000042534,
306,兰,上下,"丷,三",,丷,lán,5,0000000000000000000043111,
307,半,独体,"丷,奉_6_8",,丶,bàn,5,0000000000000000000043112,
308,汁,左右,"氵,十",,氵,zhī,5,0000000000000000000044112,
309,汇,左右,"氵,匚",,氵,huì,5,0000000000000000000044115,
310,头,独体,"⺀,大",,丶,tóu/tou,5,0000000000000000000044134,
311,汉,左右,"氵,又",,氵,hàn,5,0000000000000000000044154,
312,宁,上下,"宀,丁",,宀,níng/nìng,5,0000000000000000000044512,
313,穴,上下,"宀,八",,穴,xué,5,0000000000000000000044534,
314,它,上下,"宀,匕",,宀,tā,5,0000000000000000000044535,下面的“匕”第一笔是撇，不是竖弯钩。
315,讨,左右,"讠,寸",,讠,tǎo,5,0000000000000000000045124,
316,写,上下,"冖,与",,冖,xiě,5,0000000000000000000045151,
317,让,左右,"讠,上",,讠,ràng,5,0000000000000000000045211,
318,礼,左右,"礻,乚",,礻,lǐ,5,0000000000000000000045245,
319,训,左右,"讠,川",,讠,xùn,5,0000000000000000000045322,
320,议,左右,"讠,义",,讠,yì,5,0000000000000000000045434,
321,必,独体,"八,弋",,丶,bì,5,0000000000000000000045434,第三笔是点，不是撇。
322,讯,左右,"讠,卂",,讠,xùn,5,0000000000000000000045512,
323,记,左右,"讠,己",,讠,jì,5,0000000000000000000045515,
324,永,独体,"",,丶,yǒng,5,0000000000000000000045534,
325,司,半包围,"𠃌,𠮛",,乛,sī,5,0000000000000000000051251,
326,尼,半包围,"尸,匕",,尸,ní,5,0000000000000000000051335,里面的“匕”第一笔是撇，不是竖弯钩。
327,民,独体,"",,乛,mín,5,0000000000000000000051515,
328,弗,独体,"弓,齐_5_6",,乛,fú,5,0000000000000000000051532,
329,弘,左右,"弓,厶",,弓,hóng,5,0000000000000000000051554,
330,出,独体,"屮,凵",,丨,chū,5,0000000000000000000052252,第一笔是竖折，不是竖。
331,辽,半包围,"了,辶",,辶,liáo,5,0000000000000000000052454,
332,奶,左右,"女,乃",,女,nǎi,5,0000000000000000000053153,左面的“女”第一笔是撇点，不是横。
333,奴,左右,"女,又",,女,nú,5,0000000000000000000053154,左面的“女”第一笔是撇点，不是横。
334,召,上下,"刀,口",,刀,zhào/shào,5,0000000000000000000053251,
335,加,左右,"力,口",,力,jiā,5,0000000000000000000053251,
336,皮,半包围（独体）,"皮_1_3,又",,皮,pí,5,0000000000000000000053254,
